央视地方,#genre#
荆州新闻,http://jingzhou-live21.cjyun.org/10085/s10085-jingzhou-tv01.m3u8?auth_key=1735660799-0-0-e0477d4b5bc584e7518a1bde13892cbe
荆州垄上,http://jingzhou-live21.cjyun.org/10085/s10085-jingzhou-tv03.m3u8?auth_key=1735660799-0-0-73625822ff2c77aefa1589e94281edad
荆州公共,http://jingzhou-live21.cjyun.org/10085/s10085-jingzhou-tv02.m3u8?auth_key=1735660799-0-0-1963c999651ea135890d90bcc5ae172d
星空卫视,http://wouu.net:9977/udp/239.93.0.156:2193
香港卫视,http://zhibo.hkstv.tv/livestream/mutfysrq/playlist.m3u8
纬来体育,http://hls.szsummer.cn/live/446035/playlist.m3u8?k=32f9ec7c13e4b390289143a8e1b2a898&t=1840341130
咪咕视频,#genre#
CCTV1,http://8.146.199.204:886/2024/migu.php?id=cctv1 
CCTV2,http://8.146.199.204:886/2024/migu.php?id=cctv2 
CCTV3,http://8.146.199.204:886/2024/migu.php?id=cctv3 
CCTV4,http://8.146.199.204:886/2024/migu.php?id=cctv4 
CCTV4,http://8.146.199.204:886/2024/migu.php?id=cctv4a 
CCTV4,http://8.146.199.204:886/2024/migu.php?id=cctv4o 
CCTV5,http://8.146.199.204:886/2024/migu.php?id=cctv5
CCTV5+,http://8.146.199.204:886/2024/migu.php?id=cctv5p
CCTV6,http://8.146.199.204:886/2024/migu.php?id=cctv6 
CCTV7,http://8.146.199.204:886/2024/migu.php?id=cctv7 
CCTV8,http://8.146.199.204:886/2024/migu.php?id=cctv8 
CCTV9,http://8.146.199.204:886/2024/migu.php?id=cctv9 
CCTV10,http://8.146.199.204:886/2024/migu.php?id=cctv10
CCTV11,http://8.146.199.204:886/2024/migu.php?id=cctv11 
CCTV12,http://8.146.199.204:886/2024/migu.php?id=cctv12 
CCTV13,http://8.146.199.204:886/2024/migu.php?id=cctv13 
CCTV14,http://8.146.199.204:886/2024/migu.php?id=cctv14 
CCTV15,http://8.146.199.204:886/2024/migu.php?id=cctv15 
CCTV17,http://8.146.199.204:886/2024/migu.php?id=cctv17 
CCTV发现之旅,http://8.146.199.204:886/2024/migu.php?id=fxzl
CCTV老故事,http://8.146.199.204:886/2024/migu.php?id=lgs 
CCTV中学生,http://8.146.199.204:886/2024/migu.php?id=zxs 
CGTN,http://8.146.199.204:886/2024/migu.php?id=cgtn 
CGTN纪录,http://8.146.199.204:886/2024/migu.php?id=cgtnjl 
CCTV西班牙语,http://8.146.199.204:886/2024/migu.php?id=cgtne 
CCTV法语,http://8.146.199.204:886/2024/migu.php?id=cgtnf
CCTV阿拉伯语,http://8.146.199.204:886/2024/migu.php?id=cgtna
CCTV俄语,http://8.146.199.204:886/2024/migu.php?id=cgtnr
东方卫视,http://8.146.199.204:886/2024/migu.php?id=dfws 
重庆卫视,http://8.146.199.204:886/2024/migu.php?id=cqws 
吉林卫视,http://8.146.199.204:886/2024/migu.php?id=jlws 
辽宁卫视,http://8.146.199.204:886/2024/migu.php?id=lnws 
内蒙古卫视,http://8.146.199.204:886/2024/migu.php?id=nmws 
